condition_id,kind,seed,model,population,condition,framing,scale_labels,probe_calls,dispersion_compression,absolute_mean_shift,compression_q1_family_importance,compression_q182_homosexuality,compression_q188_euthanasia,mean_shift_q1_family_importance,mean_shift_q182_homosexuality,mean_shift_q188_euthanasia,tar_event_member,tar_prompt_member
population-mixed__condition-observed,grid,6004,qwen3.5-27b-fp8,mixed,observed,neutral,default,144,-0.7004830917874401,0.1944444444444445,0.0,-1.320652173913043,-0.7807971014492772,0.0,-0.375,-0.20833333333333348,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6004/run/prompts_and_responses.jsonl.gz
population-mixed__condition-observed,grid,6005,qwen3.5-27b-fp8,mixed,observed,neutral,default,144,-0.6624396135265697,0.1805555555555555,0.0,-1.320652173913043,-0.6666666666666661,0.0,-0.375,-0.16666666666666652,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6005/run/prompts_and_responses.jsonl.gz
population-mixed__condition-observed,grid,6006,qwen3.5-27b-fp8,mixed,observed,neutral,default,144,-0.5785024154589374,0.1944444444444445,0.0,-1.320652173913043,-0.4148550724637694,0.0,-0.375,-0.20833333333333348,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6006/run/prompts_and_responses.jsonl.gz
population-us__condition-private__model-qwen3.5-9b,variation,6001,qwen3.5-9b,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6001/run/prompts_and_responses.jsonl.gz
population-us__condition-private__model-qwen3.5-9b,variation,6002,qwen3.5-9b,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6002/run/prompts_and_responses.jsonl.gz
population-us__condition-private__model-qwen3.5-9b,variation,6003,qwen3.5-9b,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6003/run/prompts_and_responses.jsonl.gz
population-us__condition-private__model-qwen3.5-9b,variation,6004,qwen3.5-9b,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6004/run/prompts_and_responses.jsonl.gz
population-us__condition-private__model-qwen3.5-9b,variation,6005,qwen3.5-9b,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6005/run/prompts_and_responses.jsonl.gz
population-us__condition-private__model-qwen3.5-9b,variation,6006,qwen3.5-9b,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private__model-qwen3.5-9b/seed_6006/run/prompts_and_responses.jsonl.gz
population-us__condition-observed__model-qwen3.5-9b,variation,6001,qwen3.5-9b,us,observed,neutral,default,144,0.6400966183574879,0.30555555555555536,0.0,1.9202898550724636,0.0,0.0,0.9166666666666661,0.0,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-9b/seed_6001/run/prompts_and_responses.jsonl.gz
